Genomes	C	S	D	F	M	n
xanthomonadales/GCA_002738635.1_ASM273863v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738635.1_ASM273863v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_002738665.1_ASM273866v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738665.1_ASM273866v1_genomic.fna.txt;99.7	99.6	0.1	0.0	0.3	1152	   
xanthomonadales/GCA_002738675.1_ASM273867v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738675.1_ASM273867v1_genomic.fna.txt;99.6	99.5	0.1	0.3	0.1	1152	   
xanthomonadales/GCA_002738705.1_ASM273870v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738705.1_ASM273870v1_genomic.fna.txt;99.7	99.6	0.1	0.1	0.2	1152	   
xanthomonadales/GCA_002738715.1_ASM273871v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738715.1_ASM273871v1_genomic.fna.txt;99.6	99.5	0.1	0.0	0.4	1152	   
xanthomonadales/GCA_002738725.1_ASM273872v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738725.1_ASM273872v1_genomic.fna.txt;99.7	99.4	0.3	0.2	0.1	1152	   
xanthomonadales/GCA_002738765.1_ASM273876v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738765.1_ASM273876v1_genomic.fna.txt;99.5	99.2	0.3	0.3	0.2	1152	   
xanthomonadales/GCA_002738785.1_ASM273878v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738785.1_ASM273878v1_genomic.fna.txt;99.6	99.5	0.1	0.0	0.4	1152	   
xanthomonadales/GCA_002738805.1_ASM273880v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738805.1_ASM273880v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_002738815.1_ASM273881v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738815.1_ASM273881v1_genomic.fna.txt;99.5	99.2	0.3	0.3	0.2	1152	   
xanthomonadales/GCA_002738825.1_ASM273882v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738825.1_ASM273882v1_genomic.fna.txt;99.8	99.5	0.3	0.1	0.1	1152	   
xanthomonadales/GCA_002738845.1_ASM273884v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738845.1_ASM273884v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_002738885.1_ASM273888v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738885.1_ASM273888v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_002738905.1_ASM273890v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738905.1_ASM273890v1_genomic.fna.txt;99.7	99.4	0.3	0.1	0.2	1152	   
xanthomonadales/GCA_002738915.1_ASM273891v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738915.1_ASM273891v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_002738925.1_ASM273892v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738925.1_ASM273892v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_002738965.1_ASM273896v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738965.1_ASM273896v1_genomic.fna.txt;99.7	99.5	0.2	0.1	0.2	1152	   
xanthomonadales/GCA_002738985.1_ASM273898v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002738985.1_ASM273898v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_002739005.1_ASM273900v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739005.1_ASM273900v1_genomic.fna.txt;99.5	99.4	0.1	0.3	0.2	1152	   
xanthomonadales/GCA_002739015.1_ASM273901v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739015.1_ASM273901v1_genomic.fna.txt;99.6	99.4	0.2	0.2	0.2	1152	   
xanthomonadales/GCA_002739025.1_ASM273902v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739025.1_ASM273902v1_genomic.fna.txt;99.5	99.4	0.1	0.3	0.2	1152	   
xanthomonadales/GCA_002739065.1_ASM273906v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739065.1_ASM273906v1_genomic.fna.txt;99.5	99.4	0.1	0.2	0.3	1152	   
xanthomonadales/GCA_002739075.1_ASM273907v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739075.1_ASM273907v1_genomic.fna.txt;99.4	99.3	0.1	0.2	0.4	1152	   
xanthomonadales/GCA_002739095.1_ASM273909v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739095.1_ASM273909v1_genomic.fna.txt;99.4	99.3	0.1	0.3	0.3	1152	   
xanthomonadales/GCA_002739105.1_ASM273910v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739105.1_ASM273910v1_genomic.fna.txt;99.2	99.1	0.1	0.4	0.4	1152	   
xanthomonadales/GCA_002739145.1_ASM273914v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739145.1_ASM273914v1_genomic.fna.txt;99.4	99.3	0.1	0.2	0.4	1152	   
xanthomonadales/GCA_002739155.1_ASM273915v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739155.1_ASM273915v1_genomic.fna.txt;99.7	99.6	0.1	0.2	0.1	1152	   
xanthomonadales/GCA_002739175.1_ASM273917v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739175.1_ASM273917v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_002739195.1_ASM273919v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739195.1_ASM273919v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_002739225.1_ASM273922v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739225.1_ASM273922v1_genomic.fna.txt;99.5	99.4	0.1	0.2	0.3	1152	   
xanthomonadales/GCA_002739235.1_ASM273923v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739235.1_ASM273923v1_genomic.fna.txt;99.6	99.5	0.1	0.2	0.2	1152	   
xanthomonadales/GCA_002739255.1_ASM273925v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739255.1_ASM273925v1_genomic.fna.txt;99.5	99.4	0.1	0.3	0.2	1152	   
xanthomonadales/GCA_002739275.1_ASM273927v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739275.1_ASM273927v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_002739305.1_ASM273930v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739305.1_ASM273930v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_002739315.1_ASM273931v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739315.1_ASM273931v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_002739345.1_ASM273934v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739345.1_ASM273934v1_genomic.fna.txt;99.5	99.3	0.2	0.2	0.3	1152	   
xanthomonadales/GCA_002739365.1_ASM273936v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739365.1_ASM273936v1_genomic.fna.txt;99.5	99.3	0.2	0.2	0.3	1152	   
xanthomonadales/GCA_002739375.1_ASM273937v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739375.1_ASM273937v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_002739395.1_ASM273939v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739395.1_ASM273939v1_genomic.fna.txt;99.7	99.5	0.2	0.1	0.2	1152	   
xanthomonadales/GCA_002739405.1_ASM273940v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739405.1_ASM273940v1_genomic.fna.txt;99.7	99.5	0.2	0.2	0.1	1152	   
xanthomonadales/GCA_002739445.1_ASM273944v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739445.1_ASM273944v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_002739455.1_ASM273945v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739455.1_ASM273945v1_genomic.fna.txt;99.8	99.7	0.1	0.2	0.0	1152	   
xanthomonadales/GCA_002739465.1_ASM273946v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739465.1_ASM273946v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002739505.1_ASM273950v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739505.1_ASM273950v1_genomic.fna.txt;99.5	99.3	0.2	0.3	0.2	1152	   
xanthomonadales/GCA_002739525.1_ASM273952v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739525.1_ASM273952v1_genomic.fna.txt;99.9	99.7	0.2	0.1	0.0	1152	   
xanthomonadales/GCA_002739535.1_ASM273953v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739535.1_ASM273953v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_002739555.1_ASM273955v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739555.1_ASM273955v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_002739585.1_ASM273958v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739585.1_ASM273958v1_genomic.fna.txt;99.6	99.3	0.3	0.3	0.1	1152	   
xanthomonadales/GCA_002739595.1_ASM273959v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739595.1_ASM273959v1_genomic.fna.txt;99.7	99.4	0.3	0.2	0.1	1152	   
xanthomonadales/GCA_002739605.1_ASM273960v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739605.1_ASM273960v1_genomic.fna.txt;99.5	99.4	0.1	0.3	0.2	1152	   
xanthomonadales/GCA_002739625.1_ASM273962v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739625.1_ASM273962v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_002739665.1_ASM273966v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739665.1_ASM273966v1_genomic.fna.txt;100.0	99.7	0.3	0.0	0.0	1152	   
xanthomonadales/GCA_002739675.1_ASM273967v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739675.1_ASM273967v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_002739685.1_ASM273968v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739685.1_ASM273968v1_genomic.fna.txt;100.0	99.7	0.3	0.0	0.0	1152	   
xanthomonadales/GCA_002739715.1_ASM273971v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739715.1_ASM273971v1_genomic.fna.txt;99.9	99.6	0.3	0.1	0.0	1152	   
xanthomonadales/GCA_002739745.1_ASM273974v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739745.1_ASM273974v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_002739755.1_ASM273975v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739755.1_ASM273975v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_002739775.1_ASM273977v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739775.1_ASM273977v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002739785.1_ASM273978v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739785.1_ASM273978v1_genomic.fna.txt;99.3	99.2	0.1	0.4	0.3	1152	   
xanthomonadales/GCA_002739825.1_ASM273982v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739825.1_ASM273982v1_genomic.fna.txt;99.5	99.4	0.1	0.3	0.2	1152	   
xanthomonadales/GCA_002739835.1_ASM273983v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739835.1_ASM273983v1_genomic.fna.txt;99.1	99.0	0.1	0.3	0.6	1152	   
xanthomonadales/GCA_002739855.1_ASM273985v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739855.1_ASM273985v1_genomic.fna.txt;99.6	99.5	0.1	0.0	0.4	1152	   
xanthomonadales/GCA_002739875.1_ASM273987v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739875.1_ASM273987v1_genomic.fna.txt;98.9	98.8	0.1	0.7	0.4	1152	   
xanthomonadales/GCA_002739905.1_ASM273990v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739905.1_ASM273990v1_genomic.fna.txt;99.0	98.9	0.1	0.5	0.5	1152	   
xanthomonadales/GCA_002739915.1_ASM273991v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739915.1_ASM273991v1_genomic.fna.txt;99.6	99.5	0.1	0.3	0.1	1152	   
xanthomonadales/GCA_002739945.1_ASM273994v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739945.1_ASM273994v1_genomic.fna.txt;99.0	97.7	1.3	0.4	0.6	1152	   
xanthomonadales/GCA_002739955.1_ASM273995v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739955.1_ASM273995v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_002739985.1_ASM273998v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739985.1_ASM273998v1_genomic.fna.txt;99.5	99.4	0.1	0.4	0.1	1152	   
xanthomonadales/GCA_002739995.1_ASM273999v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002739995.1_ASM273999v1_genomic.fna.txt;99.6	99.5	0.1	0.1	0.3	1152	   
xanthomonadales/GCA_002740025.1_ASM274002v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740025.1_ASM274002v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_002740035.1_ASM274003v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740035.1_ASM274003v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_002740055.1_ASM274005v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740055.1_ASM274005v1_genomic.fna.txt;99.8	99.6	0.2	0.2	0.0	1152	   
xanthomonadales/GCA_002740085.1_ASM274008v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740085.1_ASM274008v1_genomic.fna.txt;99.7	96.0	3.7	0.1	0.2	1152	   
xanthomonadales/GCA_002740095.1_ASM274009v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740095.1_ASM274009v1_genomic.fna.txt;99.8	99.6	0.2	0.0	0.2	1152	   
xanthomonadales/GCA_002740105.1_ASM274010v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740105.1_ASM274010v1_genomic.fna.txt;99.8	99.6	0.2	0.0	0.2	1152	   
xanthomonadales/GCA_002740115.1_ASM274011v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740115.1_ASM274011v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002740165.1_ASM274016v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740165.1_ASM274016v1_genomic.fna.txt;99.6	99.4	0.2	0.2	0.2	1152	   
xanthomonadales/GCA_002740175.1_ASM274017v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740175.1_ASM274017v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002740185.1_ASM274018v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740185.1_ASM274018v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002740215.1_ASM274021v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740215.1_ASM274021v1_genomic.fna.txt;99.5	99.3	0.2	0.3	0.2	1152	   
xanthomonadales/GCA_002740245.1_ASM274024v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740245.1_ASM274024v1_genomic.fna.txt;99.2	99.0	0.2	0.5	0.3	1152	   
xanthomonadales/GCA_002740255.1_ASM274025v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740255.1_ASM274025v1_genomic.fna.txt;99.5	99.3	0.2	0.3	0.2	1152	   
xanthomonadales/GCA_002740265.1_ASM274026v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740265.1_ASM274026v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002740285.1_ASM274028v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740285.1_ASM274028v1_genomic.fna.txt;99.6	99.4	0.2	0.0	0.4	1152	   
xanthomonadales/GCA_002740325.1_ASM274032v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740325.1_ASM274032v1_genomic.fna.txt;100.0	96.4	3.6	0.0	0.0	1152	   
xanthomonadales/GCA_002740345.1_ASM274034v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740345.1_ASM274034v1_genomic.fna.txt;99.9	99.7	0.2	0.1	0.0	1152	   
xanthomonadales/GCA_002740355.1_ASM274035v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740355.1_ASM274035v1_genomic.fna.txt;99.8	98.8	1.0	0.0	0.2	1152	   
xanthomonadales/GCA_002740365.1_ASM274036v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740365.1_ASM274036v1_genomic.fna.txt;99.8	99.6	0.2	0.1	0.1	1152	   
xanthomonadales/GCA_002740395.1_ASM274039v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740395.1_ASM274039v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002740425.1_ASM274042v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002740425.1_ASM274042v1_genomic.fna.txt;99.6	99.4	0.2	0.3	0.1	1152	   
xanthomonadales/GCA_002798885.1_ASM279888v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002798885.1_ASM279888v1_genomic.fna.txt;99.9	99.6	0.3	0.1	0.0	1152	   
xanthomonadales/GCA_002798925.1_ASM279892v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002798925.1_ASM279892v1_genomic.fna.txt;99.9	99.6	0.3	0.0	0.1	1152	   
xanthomonadales/GCA_002798945.1_ASM279894v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002798945.1_ASM279894v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_002798965.1_ASM279896v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002798965.1_ASM279896v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_002798995.1_ASM279899v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002798995.1_ASM279899v1_genomic.fna.txt;99.8	99.3	0.5	0.0	0.2	1152	   
xanthomonadales/GCA_002799015.1_ASM279901v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799015.1_ASM279901v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002799025.1_ASM279902v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799025.1_ASM279902v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_002799055.1_ASM279905v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799055.1_ASM279905v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002799065.1_ASM279906v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799065.1_ASM279906v1_genomic.fna.txt;99.9	99.6	0.3	0.0	0.1	1152	   
xanthomonadales/GCA_002799095.1_ASM279909v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799095.1_ASM279909v1_genomic.fna.txt;99.9	99.7	0.2	0.1	0.0	1152	   
xanthomonadales/GCA_002799105.1_ASM279910v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799105.1_ASM279910v1_genomic.fna.txt;99.9	99.8	0.1	0.0	0.1	1152	   
xanthomonadales/GCA_002799135.1_ASM279913v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799135.1_ASM279913v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_002799145.1_ASM279914v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799145.1_ASM279914v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_002799155.1_ASM279915v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799155.1_ASM279915v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_002799165.1_ASM279916v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799165.1_ASM279916v1_genomic.fna.txt;99.9	99.6	0.3	0.0	0.1	1152	   
xanthomonadales/GCA_002799215.1_ASM279921v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799215.1_ASM279921v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_002799225.1_ASM279922v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799225.1_ASM279922v1_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_002799235.1_ASM279923v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799235.1_ASM279923v1_genomic.fna.txt;99.8	99.5	0.3	0.1	0.1	1152	   
xanthomonadales/GCA_002799245.1_ASM279924v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799245.1_ASM279924v1_genomic.fna.txt;99.9	99.7	0.2	0.0	0.1	1152	   
xanthomonadales/GCA_002799295.1_ASM279929v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002799295.1_ASM279929v1_genomic.fna.txt;99.9	99.6	0.3	0.0	0.1	1152	   
xanthomonadales/GCA_002847385.1_ASM284738v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002847385.1_ASM284738v1_genomic.fna.txt;99.6	99.3	0.3	0.2	0.2	1152	   
xanthomonadales/GCA_002951115.1_ASM295111v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_002951115.1_ASM295111v1_genomic.fna.txt;99.9	99.7	0.2	0.1	0.0	1152	   
xanthomonadales/GCA_003006435.1_ASM300643v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003006435.1_ASM300643v1_genomic.fna.txt;99.8	99.5	0.3	0.1	0.1	1152	   
xanthomonadales/GCA_003006585.1_ASM300658v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003006585.1_ASM300658v1_genomic.fna.txt;64.7	64.5	0.2	14.8	20.5	1152	   
xanthomonadales/GCA_003006595.1_ASM300659v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003006595.1_ASM300659v1_genomic.fna.txt;83.3	83.2	0.1	8.9	7.8	1152	   
xanthomonadales/GCA_003006605.1_ASM300660v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003006605.1_ASM300660v1_genomic.fna.txt;88.5	88.3	0.2	7.4	4.1	1152	   
xanthomonadales/GCA_003006655.1_ASM300665v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003006655.1_ASM300665v1_genomic.fna.txt;88.9	87.9	1.0	6.7	4.4	1152	   
xanthomonadales/GCA_003006665.1_ASM300666v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003006665.1_ASM300666v1_genomic.fna.txt;65.4	65.1	0.3	16.7	17.9	1152	   
xanthomonadales/GCA_003006685.1_ASM300668v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003006685.1_ASM300668v1_genomic.fna.txt;87.4	87.2	0.2	7.5	5.1	1152	   
xanthomonadales/GCA_003006775.1_ASM300677v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003006775.1_ASM300677v1_genomic.fna.txt;60.8	60.6	0.2	16.8	22.4	1152	   
xanthomonadales/GCA_003006785.1_ASM300678v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003006785.1_ASM300678v1_genomic.fna.txt;92.0	91.8	0.2	5.6	2.4	1152	   
xanthomonadales/GCA_003015035.1_ASM301503v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003015035.1_ASM301503v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_003030985.1_ASM303098v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003030985.1_ASM303098v1_genomic.fna.txt;99.9	99.6	0.3	0.0	0.1	1152	   
xanthomonadales/GCA_003057835.1_ASM305783v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003057835.1_ASM305783v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_003057835.2_ASM305783v2_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003057835.2_ASM305783v2_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_003062325.1_ASM306232v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003062325.1_ASM306232v1_genomic.fna.txt;99.4	99.3	0.1	0.3	0.3	1152	   
xanthomonadales/GCA_003062365.1_ASM306236v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003062365.1_ASM306236v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_003062365.2_ASM306236v2_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003062365.2_ASM306236v2_genomic.fna.txt;99.8	99.7	0.1	0.1	0.1	1152	   
xanthomonadales/GCA_003062375.1_ASM306237v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003062375.1_ASM306237v1_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_003062375.2_ASM306237v2_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003062375.2_ASM306237v2_genomic.fna.txt;99.8	99.7	0.1	0.0	0.2	1152	   
xanthomonadales/GCA_003143835.1_ASM314383v1_genomic.fna/short_summary.specific.xanthomonadales_odb10.GCA_003143835.1_ASM314383v1_genomic.fna.txt;99.2	99.1	0.1	0.5	0.3	1152	   
